RUN	simulations.FixedDurationLoadSimulation	fixeddurationloadsimulation	1586359615487	 	3.3.1
REQUEST	56		Get specific game	1586359654077	1586359654084	OK	 
REQUEST	48		Get all video games	1586359654084	1586359654089	OK	 
REQUEST	23		Get specific game	1586359654098	1586359654103	OK	 
REQUEST	40		Get specific game	1586359654098	1586359654103	OK	 
REQUEST	31		Get all video games	1586359654108	1586359654111	OK	 
REQUEST	31		Get all video games	1586359654112	1586359654114	OK	 
REQUEST	15		Get all video games	1586359654119	1586359654122	OK	 
REQUEST	15		Get all video games	1586359654122	1586359654126	OK	 
REQUEST	57		Get specific game	1586359654563	1586359654567	OK	 
REQUEST	49		Get all video games	1586359654583	1586359654587	OK	 
REQUEST	49		Get all video games	1586359654587	1586359654591	OK	 
REQUEST	32		Get all video games	1586359654594	1586359654598	OK	 
REQUEST	32		Get all video games	1586359654598	1586359654601	OK	 
REQUEST	24		Get specific game	1586359654614	1586359654618	OK	 
REQUEST	58		Get specific game	1586359655065	1586359655069	OK	 
REQUEST	50		Get all video games	1586359655085	1586359655088	OK	 
REQUEST	50		Get all video games	1586359655089	1586359655092	OK	 
REQUEST	41		Get specific game	1586359655096	1586359655100	OK	 
REQUEST	33		Get all video games	1586359655096	1586359655100	OK	 
REQUEST	33		Get all video games	1586359655101	1586359655104	OK	 
